"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5756","Non POM Traditional","chromium","Fri Dec 06 11:29:49 GMT 2024","passed","Fri Dec 06 11:29:55 GMT 2024","","test-5.spec.ts","",""
"","9864","Non POM Traditional","webkit","Fri Dec 06 11:30:32 GMT 2024","passed","Fri Dec 06 11:30:42 GMT 2024","","test-5.spec.ts","",""
"","3612","Screenshot demo","chromium","Fri Dec 06 11:29:49 GMT 2024","passed","Fri Dec 06 11:29:53 GMT 2024","","test-5.spec.ts","",""
"","3417","Screenshot demo","webkit","Fri Dec 06 11:30:40 GMT 2024","passed","Fri Dec 06 11:30:44 GMT 2024","","test-5.spec.ts","",""
"","8570","Pomified","webkit","Fri Dec 06 11:30:31 GMT 2024","passed","Fri Dec 06 11:30:39 GMT 2024","","test-5.spec.ts","",""
"","15129","Non POM Traditional","firefox","Fri Dec 06 11:29:58 GMT 2024","passed","Fri Dec 06 11:30:13 GMT 2024","","test-5.spec.ts","",""
"","5877","Reporting demos","webkit","Fri Dec 06 11:30:32 GMT 2024","passed","Fri Dec 06 11:30:38 GMT 2024","","test-5.spec.ts","",""
"","2864","Reporting demos","chromium","Fri Dec 06 11:29:49 GMT 2024","passed","Fri Dec 06 11:29:52 GMT 2024","","test-5.spec.ts","",""
"","12656","Pomified","firefox","Fri Dec 06 11:29:58 GMT 2024","passed","Fri Dec 06 11:30:10 GMT 2024","","test-5.spec.ts","",""
"","11101","Reporting demos","firefox","Fri Dec 06 11:30:05 GMT 2024","passed","Fri Dec 06 11:30:16 GMT 2024","","test-5.spec.ts","",""
"","13922","Screenshot demo","firefox","Fri Dec 06 11:29:59 GMT 2024","passed","Fri Dec 06 11:30:12 GMT 2024","","test-5.spec.ts","",""
"","5294","Pomified","chromium","Fri Dec 06 11:29:49 GMT 2024","passed","Fri Dec 06 11:29:54 GMT 2024","","test-5.spec.ts","",""
